Ticker,Nama Perusahaan,Tanggal Listing,Sektor,Underwriter,Papan Pencatatan,Ownership,Listed Share,Persen Saham Ditawarkan,Rencana Penggunaan Dana IPO,Valuation Currency,Total Aset,Total Liabilitas,Pendapatan,Laba Kotor,Laba Berjalan (Bukan Komperhensif),Harga Final,1D %,1W %,1M %,6M %,1Y %
GUNA,PT Gunanusa Eramandiri Tbk,9-Jul-24,Consumer Non-Cyclicals,PT Panin Sekuritas Tbk,pengembangan,lainnya,2500000000,0.2,modal belanja,rupiah,1.52874E+12,7.76374E+11,1.36313E+12,4.20876E+11,1.50952E+11,150,999,95,104,105,
DEWI,PT Dewi Shri Farmindo Tbk,18-Jul-22,Consumer Non-Cyclicals,PT KGI Sekuritas Indonesia; PT Binaartha Sekuritas,pengembangan,lainnya,2000000000,0.35,ekspansi,rupiah,85111029983,12782310197,23399285941,2923806089,1415737946,100,999,48,78,124,-32
ATLA,PT Atlantis Subsea Indonesia Tbk,16-Apr-24,Energy,PT Artha Sekuritas Indonesia,pengembangan,lainnya,6199500000,0.1936,modal belanja,rupiah,52875310795,4177135814,30750596199,7958886009,1875993020,100,999,164,46,-50,-50
ASHA,PT Cilacap Samudera Fishing Industry Tbk,27-May-22,Consumer Non-Cyclicals,PT KGI Sekuritas Indonesia; PT Korea Investment And Sekuritas Indonesia,pemantauan khusus,lainnya,5000000000,0.25,modal kerja,rupiah,1.11777E+11,33122743723,1.68406E+11,21196194407,894947985,100,999,280,86,35,-4
MHKI,PT Multi Hanna Kreasindo Tbk,16-Apr-24,Industrials,PT NH Korindo Sekuritas Indonesia,pengembangan,lainnya,3750000000,0.2,modal belanja,rupiah,3.26798E+11,24340336257,1.08003E+11,63448235013,23252529682,160,999,91,156,-21,-43
WINR,PT Winner Nusantara Jaya Tbk,25-Apr-22,Properties & Real Estate,PT Aartha Sekuritas Indonesia; PT Mirae Asset Sekuritas Indonesia; PT Panca Global Sekuritas; PT Yuanta Sekuritas Indonesia,pemantauan khusus,lainnya,5235200000,0.2865,modal belanja,rupiah,2.53379E+11,78742000000,20218000000,9498000000,1.06635E+11,100,999,112,76,-50,-50
SOLA,PT Xolare RCR Energy Tbk,8-May-24,Basic Materials,PT UOB Kay Hian Sekuritas,pengembangan,lainnya,3281250000,0.2,modal belanja,rupiah,87330000000,15650000000,48500000000,18088000000,1940000000,110,999,72,-55,-55,-32
WIRG,PT WIR ASIA Tbk,4-Apr-22,Technology,PT Ciptadana Sekuritas Asia,pengembangan,start up,11919159000,0.2,modal belanja,rupiah,3.02487E+11,1.59181E+11,5.54517E+11,1.20721E+11,17298330302,168,999,227,555,152,-11
PDPP,PT Primadaya Plastisindo Tbk,9-Nov-22,Basic Materials,PT Semesta Indovest Sekuritas,utama,lainnya,2500000000,0.2,ekspansi,rupiah,3.89733E+11,1.37489E+11,1.44719E+11,28841176832,11960963379,200,999,16,1,45,56
ZATA,PT Bersama Zatta Jaya Tbk,10-Nov-22,Consumer Cyclicals,PT UOB Kay Hian Sekuritas,pemantauan khusus,lainnya,8496000000,0.2001,ekspansi,rupiah,5.591E+11,2.09941E+11,1.43262E+11,56768000000,-7613000000,100,999,182,31,-50,-50
AYAM,PT Janu Putra Sejahtera Tbk,30-Nov-23,Consumer Non-Cyclicals,PT UOB Kay Hian Sekuritas,pengembangan,lainnya,4000000000,0.2,ekspansi,rupiah,2.67425E+11,1.47279E+11,1.15669E+11,8833000000,4256000000,100,999,11,10,7,49
MMIX,PT Multi Medika Internasional Tbk,6-Dec-22,Healthcare,PT Mirae Asset Sekuritas Indonesia,pengembangan,lainnya,2400000000,0.25,modal kerja,rupiah,82607739211,32468867450,82128810016,52134119839,19752857765,190,999,27,71,29,-11
SAGE,PT Saptausaha Gemilangindah Tbk,8-Mar-23,Properties & Real Estate,PT Danatama Makmur Sekuritas; PT Aartha Sekuritas Indonesia,pemantauan khusus,lainnya,8033250000,0.2004,bayar hutang,rupiah,2.68877E+11,1.48228E+11,20519309930,-47666585402,4696657212,100,999,40,272,-50,-50
AWAN,PT Era Digital Media Tbk,18-Apr-23,Technology,PT Samuel Sekuritas Indonesia; PT Sucor Sekuritas,pengembangan,start up,3435000000,0.2183,modal belanja,rupiah,24750829485,3884498719,21644121500,14820247646,7324568393,100,999,212,152,134,218
TYRE,PT King Tire Indonesia Tbk,8-May-23,Consumer Cyclicals,PT Victoria Sekuritas Indonesia,pengembangan,lainnya,3478020000,0.2013,modal kerja,rupiah,3.80848E+11,1.90815E+11,4.51767E+11,72471343508,20393706480,138,999,2,-11,-12,-1
JATI,PT Informasi Teknologi Indonesia Tbk,8-May-23,Technology,PT KGI Sekuritas Indonesia; PT Shinhan Sekuritas Indonesia,pengembangan,start up,3262500000,0.2,modal kerja,rupiah,2.71251E+11,1.80085E+11,3.71892E+11,65673409897,20304945081,100,999,114,45,-28,-50
SMIL,PT Sarana Mitra Luas Tbk,12-May-23,Industrials,PT MNC Sekuritas; PT KB Valbury Sekuritas; PT Erdikha Elit Sekuritas,utama,lainnya,8750000000,0.2,modal belanja,rupiah,5.72895E+11,1.72742E+11,2.03159E+11,61973928557,25400891371,100,999,48,43,26,41
KLAS,PT Pelayaran Kurnia Lautan Semesta Tbk,12-Jun-23,Transportation & Logistic,PT Panin Sekuritas Tbk,pengembangan,lainnya,2165000000,0.2494,modal belanja,rupiah,2.30092E+11,1.23115E+11,1.79426E+11,65006754990,28907747378,146,999,-9,-29,-39,-17
TGUK,PT Platinum Wahab Nusantara Tbk,10-Jul-23,Consumer Non-Cyclicals,PT Semesta Indovest Sekuritas,pemantauan khusus,lainnya,3571429000,0.3,modal belanja,rupiah,76163244322,16885219341,1.28305E+11,78021474019,12642475951,110,999,26,-10,-15,-55
INET,PT Sinergi Inti Andalan Prima Tbk,24-Jul-23,Infrastructures,PT Shinhan Sekuritas Indonesia,pengembangan,lainnya,7500000000,0.2,modal kerja,rupiah,72983848409,7780796134,6504689740,1794365022,515065262,101,999,100,84,-31,-50
FWCT,PT Wijaya Cahaya Timber Tbk,1-Feb-23,Basic Materials,PT Lotus Andalan Sekuritas,pengembangan,lainnya,1875000000,0.2,modal belanja,rupiah,3.93201E+11,1.77455E+11,5.0829E+11,61110241000,25181704000,118,999,2,-7,-56,-40
LAJU,PT Jasa Berdikari Logistics Tbk,27-Jan-23,Transportation & Logistic,PT NH Korindo Sekuritas Indonesia,pengembangan,lainnya,2149840000,0.3256,modal kerja,rupiah,1.04939E+11,50605053298,1.33582E+11,32308614257,10735057550,100,999,41,144,-36,-45
MAHA,PT Mandiri Herindo Adiperkasa Tbk,25-Jul-23,Energy,PT Trimegah Sekuritas Indonesia Tbk,utama,lainnya,16666000000,0.25,modal kerja,rupiah,1.72866E+12,6.50461E+11,4.55361E+11,1.17479E+11,41026288000,118,999,132,114,58,65
WINE,PT Hatten Bali Tbk,10-Jan-23,Consumer Non-Cyclicals,PT NH Korindo Sekuritas Indonesia,pengembangan,lainnya,2710000000,0.2502,modal belanja,rupiah,3.07074E+11,1.78059E+11,64211861658,31724886167,-4722626260,129,999,134,185,357,213
CYBR,PT ITSEC Asia Tbk,8-Aug-23,Technology,PT Mirae Asset Sekuritas Indonesia; PT Sucor Sekuritas; PT Trimegah Sekuritas Indonesia Tbk,pengembangan,start up,6449574702,0.1564,modal kerja,rupiah,99345970122,63882790154,9282591159,2156954158,-2185890851,100,999,132,66,118,198
IOTF,PT Sumber Sinergi Makmur Tbk,6-Oct-23,Technology,PT KB Valbury Sekuritas; PT Shinhan Sekuritas Indonesia,pengembangan,lainnya,5280000000,0.2083,modal kerja,rupiah,58698489543,14437112292,16124333459,4171884951,560957670,100,999,5,9,37,35
STRK,PT Lovina Beach Brewery Tbk,10-Oct-23,Consumer Non-Cyclicals,PT Artha Sekuritas Indonesia; PT Panca Global Sekuritas; PT KGI Sekuritas Indonesia; PT Waterfront Sekuritas Indonesia,pengembangan,lainnya,10721709000,0.1101,modal belanja,rupiah,70588409490,19087673754,10859348665,6691893509,19495325284,100,999,128,210,-50,-50
GOLF,PT Intra Golflink Resorts Tbk,8-Jul-24,Consumer Cyclicals,PT KB Valbury Sekuritas; PT Samuel Sekuritas Indonesia; PT Semesta Indovest Sekuritas; PT Trimegah Sekuritas Indonesia Tbk,utama,lainnya,19486760000,0.1001,modal belanja,rupiah,7.76454E+12,1.82798E+11,1.77582E+11,1.12442E+11,60176514048,200,999,15,8,4,
MKAP,PT Multikarya Asia Pasifik Raya Tbk,12-Feb-24,Energy,PT Lotus Andalan Sekuritas,pengembangan,lainnya,3250000000,0.2,modal kerja,rupiah,2.59699E+11,1.10548E+11,1.31607E+11,51977424107,17158994618,115,999,114,107,241,157
NTBK,PT Nusatama Berkah Tbk,9-Feb-22,Industrials,PT Danatama Makmur Sekuritas; PT Surya Fajar Sekuritas,pengembangan,lainnya,2700000000,0.2593,modal kerja,rupiah,61246718968,37677608536,39326661671,5743735643,443255179,100,999,3,-33,-50,-50
NEST,PT Esta Indonesia Tbk,8-Aug-24,Consumer Non-Cyclicals,PT KGI Sekuritas Indonesia,pengembangan,lainnya,4112500000,0.2,modal kerja,rupiah,3.16419E+11,1.18196E+11,81713958951,7144745717,4271769764,200,999,31,51,163,
NAIK,PT Adiwarna Anugerah Abadi Tbk,13-Nov-24,Industrials,PT MNC Sekuritas,pengembangan,lainnya,3250000000,0.2308,modal kerja,rupiah,1.79093E+11,99421829705,67291878880,20774760592,7747930601,107,999,147,122,,
DOSS,PT Global Sukses Digital Tbk,7-Aug-24,Consumer Cyclicals,PT Samuel Sekuritas Indonesia,pengembangan,start up,1725000000,0.2609,modal kerja,rupiah,1.66681E+11,71416068850,39183529825,2698002148,4704968777,135,999,73,44,30,
IPPE,PT Indo Pureco Pratama Tbk,9-Dec-21,Consumer Non-Cyclicals,PT KGI Sekuritas Indonesia; PT Mirae Asset Sekuritas Indonesia,pemantauan khusus,lainnya,4600000000,0.2174,modal belanja,rupiah,1.87927E+11,4512576000,17770838000,4520546000,1868854000,100,999,114,98,140,65
YOII,PT Asuransi Digital Bersama Tbk,8-Jan-25,Financials,PT Reliance Sekuritas Indonesia Tbk,pengembangan,start up,3424687500,0.1203,modal kerja,rupiah,2.62049E+11,95184184000,6.30347E+11,1.37843E+11,15924202000,100,999,9,-12,,
BAUT,PT Mitra Angkasa Sejahtera Tbk,28-Jan-22,Consumer Cyclicals,PT UOB Kay Hian Sekuritas,pemantauan khusus,lainnya,4800000000,0.3021,modal kerja,rupiah,85091000000,38393000000,66796000000,12857000000,5339000000,100,999,114,44,-50,-50
NETV,PT Net Visi Media Tbk,26-Jan-22,Consumer Cyclicals,PT NH Korindo Sekuritas Indonesia,pengembangan,konglomerat,23453177240,0.0437,bayar hutang,rupiah,1.71638E+12,1.69263E+12,2.82937E+11,95764000000,-1.21081E+11,196,999,227,160,42,1
ADMR,PT Adaro Minerals Indonesia Tbk,3-Jan-22,Energy,PT Ciptadana Sekuritas Asia,utama,konglomerat,40882331500,0.15,modal belanja,usd,1.1577E+13,1.0877E+13,2.94955E+12,1.15264E+12,6.42232E+11,100,999,280,1085,1525,1580
BOAT,PT Newport Marine Services Tbk,12-Nov-24,Energy,PT BRI Danareksa Sekuritas,pengembangan,lainnya,3501680000,0.2857,bayar hutang,usd,5.34317E+11,2.69713E+11,48967808500,9618191025,26565100,100,999,33,160,,
MEDS,PT Hetzer Medical Indonesia Tbk,10-Aug-22,Healthcare,PT Wanteg Sekuritas,pengembangan,lainnya,1562500000,0.2,modal belanja,rupiah,51305204186,16112021805,13038190545,7404692881,2729745532,125,999,127,114,0,-38
SMGA,PT Sumber Mineral Global Abadi Tbk,30-Jan-24,Basic Materials,PT Victoria Sekuritas Indonesia,pengembangan,lainnya,8750000000,0.2,modal kerja,rupiah,2.96714E+11,1.29356E+11,1.12156E+11,10667772090,5048029195,105,999,10,-3,-12,-43
KUAS,PT Ace Oldfields Tbk,25-Oct-21,Industrials,PT NH Korindo Sekuritas Indonesia,pengembangan,lainnya,1292570540,0.3017,modal belanja,rupiah,2.1077E+11,1.51524E+11,42163719743,8894908682,1527911869,195,999,12,22,-62,-65
MUTU,PT Mutuagung Lestari Tbk,9-Aug-23,Industrials,PT Trimegah Sekuritas Indonesia Tbk; PT Indo Premier Sekuritas,pengembangan,lainnya,3142857200,0.3,belanja modal,rupiah,1.60689E+11,81312965515,59417766384,25002220867,8156558559,108,999,23,69,-17,-26
NASI,PT Wahana Inti Makmur Tbk,13-Dec-21,Consumer Non-Cyclicals,PT UOB Kay Hian Sekuritas,pengembangan,lainnya,807400000,0.2477,modal kerja,rupiah,44016000000,12879000000,22578000000,4933000000,363000000,155,999,39,154,127,-39
BSML,PT Bintang Samudera Mandiri Lines Tbk,16-Dec-21,Energy,PT Danatama Makmur Sekuritas,pengembangan,lainnya,1850225000,0.2,modal kerja,rupiah,2.12953E+11,1.58237E+11,29289955455,8089193133,3531401645,117,999,12,247,695,266
PEVE,PT Penta Valent Tbk,24-Jan-23,Healthcare,PT Lotus Andalan Sekuritas,pengembangan,lainnya,1765625000,0.2,modal kerja,rupiah,6.49336E+11,5.14351E+11,1.16577E+12,1.05062E+11,9710178000,149,999,48,32,16,17
CBRE,PT Cakra Buana Resources Energi Tbk,9-Jan-23,Energy,PT RHB Sekuritas Indonesia; PT KGI Sekuritas Indonesia,pemantauan khusus,lainnya,4538000000,0.1626,modal kerja,rupiah,99682594325,13220496026,12071666666,-5721486216,2629841298,108,999,47,-17,-54,-54
SBMA,PT Surya Biru Murni Acetylene Tbk,8-Sep-21,Basic Materials,PT KGI Sekuritas Indonesia,pengembangan,lainnya,928400000,0.2999,modal belanja,rupiah,1.99117E+11,48863814619,32191782983,14916939307,272938091,180,999,178,143,62,24
SEMA,PT Semacom Integrated Tbk,10-Jan-22,Energy,PT NH Korindo Sekuritas Indonesia,pengembangan,lainnya,1347000000,0.2576,modal kerja,rupiah,1.46958E+11,84122225649,60908982311,19362247071,4959696897,180,999,34,53,12,-18
GPSO,PT Geoprima Solusi Tbk,6-Sep-21,Industrials,PT Surya Fajar Sekuritas; PT NH Korindo Sekuritas Indonesia ,pengembangan,lainnya,666666600,0.25,modal kerja,rupiah,65683598000,20693579000,1949418000,1101686,-242723000,180,999,4,-3,-41,-32
DATA,PT Remala Abadi Tbk,7-May-24,Technology,PT UOB Kay Hian Sekuritas,pengembangan,lainnya,1375000000,0.2,modal belanja,rupiah,1.35746E+11,41037741015,1.79096E+11,1.03861E+11,29392868254,188,999,132,63,214,671
MPXL,PT MPX Logistics International Tbk,9-May-23,Transportation & Logistic,PT Panin Sekuritas Tbk,pengembangan,lainnya,2000000000,0.2,modal belanja,rupiah,60721431854,21198134841,1.07021E+11,14018072896,6025095569,108,999,14,15,59,36
FORE,PT Fore Kopi Indonesia Tbk,14-Apr-25,Consumer Non-Cyclicals,PT Mandiri Sekuritas,pengembangan,start up,8918359270,0.2108,ekspansi,rupiah,6.04784E+11,3.81471E+11,7.27371E+11,4.46553E+11,42347424194,188,999,97,,,
BLES,PT Superior Prima Sukses Tbk,8-Jul-24,Basic Materials,PT Lotus Andalan Sekuritas,pengembangan,lainnya,8890206400,0.15,modal belanja,rupiah,1.52874E+12,7.76374E+11,1.36313E+12,4.20876E+11,1.50952E+11,183,999,41,15,33,
BIKE,PT Sepeda Bersama Indonesia Tbk,21-Mar-22,Consumer Cyclicals,PT Trimegah Sekuritas Indonesia Tbk; PT Mirae Asset Sekuritas Indonesia; PT NH Korindo Sekuritas Indonesia,pengembangan,lainnya,1293334000,0.25,modal kerja,rupiah,1.24779E+11,75005840000,1.2294E+11,32574485000,20266419,170,999,38,1,41,22
PIPA,PT Multi Makmur Lemindo Tbk,10-Apr-23,Industrials,PT Shinhan Sekuritas Indonesia,pemantauan khusus,lainnya,3425000000,0.2701,modal belanja,rupiah,89251027649,37456058142,31844661037,8223012707,71208770918,105,999,60,1,-52,-52
ACRO,PT Samcro Hyosung Adilestari Tbk,11-Jan-24,Consumer Cyclicals,PT UOB Kay Hian Sekuritas,pengembangan,lainnya,3469138591,0.2,modal belanja,rupiah,1.03973E+11,48295012099,22767290135,9785001404,4158520192,108,999,-1,-15,-22,-32
KOKA,PT Koka Indonesia Tbk,11-Oct-23,Infrastructures,PT KGI Sekuritas Indonesia; PT UOB Kay Hian Sekuritas,pengembangan,lainnya,2861333000,0.25,modal kerja,rupiah,1.07174E+11,29744646475,69544387366,19532946868,11871688903,128,33,-13,-52,-47,-52
TRON,PT Teknologi Karya Digital Nusa Tbk,8-Mar-23,Technology,PT Surya Fajar Sekuritas,pengembangan,start up,2950000000,0.2542,modal kerja,rupiah,83367300740,23190851888,84040736448,34149410258,13404525000,180,31,50,53,64,42
VISI,PT Satu Visi Putra Tbk,27-Feb-24,Industrials,PT Surya Fajar Sekuritas,pengembangan,lainnya,3075000000,0.2,modal kerja,rupiah,2.29949E+11,1.23509E+11,2.56221E+11,42715857888,20389240403,120,28,2,42,98,52
KDTN,PT Puri Sentul Permai Tbk,9-Nov-22,Consumer Cyclicals,PT Victoria Sekuritas Indonesia,pengembangan,lainnya,1250000000,0.2,ekspansi,rupiah,45367912371,15230430759,11720717966,5926169192,1024168625,150,26,7,-8,-10,-30
MORA,PT Mora Telematika Indonesia Tbk,8-Aug-22,Infrastructures,PT BNI Sekuritas; PT Sucor Sekuritas,pengembangan,lainnya,23646668691,0.1068,ekspansi,rupiah,1.44149E+13,9.67057E+12,1.02607E+12,6.61272E+11,1.83619E+11,396,999,46,48,10,18
ASLC,PT Autopedia Sukses Lestari Tbk,25-Jan-22,Consumer Cyclicals,PT Ciptadana Sekuritas Asia; PT Trimegah Sekuritas Indonesia Tbk,pengembangan,konglomerat,12746354780,0.2,modal kerja,rupiah,4.30826E+11,1.62368E+11,1.35281E+11,1.14188E+11,23065650000,256,999,13,2,-30,-64
OBAT,PT Brigit Biofarmaka Teknologi Tbk,13-Jan-25,Healthcare,PT OSO Sekuritas,pengembangan,start up,600000000,0.2833,modal belanja,rupiah,52084891107,24611140994,54758628634,24080092169,12644897342,350,999,70,77,,
TRGU,PT Cerestar Indonesia Tbk,8-Jul-22,Consumer Non-Cyclicals,PT Semesta Indovest Sekuritas,utama,lainnya,7945412700,0.1887,modal belanja,rupiah,1.98106E+12,1.3103E+12,3.42056E+12,2.70312E+11,26802289013,210,999,124,62,5,2
RSGK,PT Kedoya Adyaraya Tbk,8-Sep-21,Healthcare,PT Buana Capital Sekuritas,pengembangan,lainnya,929675000,0.2,bayar hutang,rupiah,7.23809E+11,2.11438E+11,1.83713E+11,80875105704,37483477810,1720,999,14,-2,-16,-25
CMNT,PT Cemindo Gemilang Tbk,8-Sep-21,Basic Materials,PT Ciptadana Sekuritas Asia; PT UBS Sekuritas Indonesia; PT Mandiri Sekuritas,pengembangan,konglomerat,17125504000,0.1004,modal kerja,rupiah,1.76453E+13,1.42971E+13,6.43342E+12,1.28679E+12,-8.39791E+11,680,999,20,39,55,49
MINE,PT Sinar Terang Mandiri Tbk,10-Mar-25,Basic Materials,PT Trimegah Sekuritas Indonesia Tbk,utama,lainnya,4084435300,0.15,modal belanja,rupiah,1.50585E+12,8.80325E+11,1.36338E+12,3.54514E+11,2.25177E+11,216,999,126,112,,
MTMH,PT Murni Sadar Tbk,20-Apr-22,Healthcare,PT BCA Sekuritas; PT Ciptadana Sekuritas Asia,utama,lainnya,2068526950,0.1228,modal kerja,rupiah,1.38777E+12,6.36357E+11,8.4837E+11,3.95323E+11,1.22197E+11,1280,999,21,27,51,18
MPIX,PT Mitra Pedagang Indonesia Tbk,7-Feb-24,Technology,PT RHB Sekuritas Indonesia; PT KGI Sekuritas Indonesia,pengembangan,konglomerat,1571500000,0.2,modal kerja,rupiah,55369171422,15502541736,4.8572E+11,19504902740,12065548843,268,999,-50,-35,-78,-77
RAAM,PT Tripar Multivision Plus Tbk,8-May-23,Consumer Cyclicals,PT UOB Kay Hian Sekuritas; PT Sucor Sekuritas,utama,lainnya,6194200000,0.15,modal kerja,rupiah,1.11633E+12,1.98691E+11,11410000000,6601000000,-44000000,234,999,201,225,105,122
HAIS,PT Hasnur Internasional Shipping Tbk,1-Sep-21,Transportation & Logistic,PT RHB Sekuritas Indonesia,pengembangan,konglomerat,2626250000,0.2,modal belanja,rupiah,3.84296E+11,1.31999E+11,77773818670,15445429268,7882013440,300,999,-3,-12,-19,-19
PART,PT Cipta Perdana Lancar Tbk,5-Jul-24,Consumer Cyclicals,PT MNC Sekuritas; PT Erdikha Elit Sekuritas; PT KB Valbury Sekuritas,pengembangan,lainnya,2720000000,0.25,modal belanja,rupiah,2.21377E+11,1.57839E+11,2.38107E+11,48182457349,45353922403,105,999,23,64,-8,
BMHS,PT Bundamedik Tbk,6-Jul-21,Healthcare,PT Ciptadana Sekuritas Asia,utama,konglomerat,8603416176,0.0726,bayar hutang,rupiah,2.16254E+12,1.11284E+12,1.14814E+12,3.68104E+11,1.1846E+11,340,999,201,203,131,74
STAA,PT Sumber Tani Agung Resources Tbk,10-Mar-22,Consumer Non-Cyclicals,PT CIMB Niaga Sekuritas; PT DBS Vickers Sekuritas Indonesia,utama,lainnya,10903372600,0.0806,modal belanja,rupiah,5.68905E+12,2.77975E+12,4.17974E+12,1.63996E+12,8.04524E+11,600,999,36,52,93,67
CUAN,PT Petrindo Jaya Kreasi Tbk,8-Mar-23,Energy,PT Henan Putihrai Sekuritas; PT BRI Danareksa Sekuritas,utama,konglomerat,11241890000,0.1503,ekspansi,rupiah,1.41046E+12,4.05585E+11,9.13529E+11,-6.01225E+11,-2.91892E+11,220,999,200,309,991,3014
MASB,PT Bank Multiarta Sentosa Tbk,30-Jun-21,Financials,PT BCA Sekuritas,pemantauan khusus,lainnya,1226902970,0.15,modal kerja,rupiah,2.15379E+13,1.96481E+13,1.21223E+12,4.31357E+11,1.08192E+11,3360,999,3,0,5,4
ALII,PT Ancara Logistics Indonesia Tbk,7-Feb-24,Energy,PT Ciptadana Sekuritas Asia; PT Samuel Sekuritas Indonesia,utama,lainnya,15825800000,0.2,bayar hutang,rupiah,1.85516E+12,1.24085E+12,6.62881E+11,2.94865E+11,1.66133E+11,272,999,45,80,17,44
CBDK,PT Bangun Kosambi Sukses Tbk,13-Jan-25,Properties & Real Estate,PT Trimegah Sekuritas Indonesia Tbk,utama,lainnya,5668944500,0.1,ekspansi,rupiah,1.8157E+13,1.00144E+13,9.69408E+11,5.61103E+11,4.79102E+11,4060,999,157,83,,
BREN,PT Barito Renewables Energy Tbk,9-Oct-23,Infrastructures,PT BNI Sekuritas,utama,konglomerat,1.33786E+11,0.03,bayar hutang,usd,5.4479E+13,4.70396E+13,2.307E+12,1.19709E+12,6.22098E+11,780,999,203,464,788,759
RATU,PT Raharja Energi Cepu Tbk,8-Jan-25,Energy,PT Sucor Sekuritas; PT Henan Putihrai Sekuritas,pengembangan,lainnya,2715053800,0.2,modal kerja,usd,8.19599E+11,4.81453E+11,4.52667E+11,1.87504E+11,1.20425E+11,1150,999,202,557,,
BUAH,PT Segar Kumala Indonesia Tbk,9-Aug-22,Consumer Non-Cyclicals,PT Reliance Sekuritas Indonesia Tbk,pengembangan,lainnya,1000000000,0.2,modal kerja,rupiah,2.75986E+11,2.09415E+11,2.80332E+11,26666886003,1315883908,388,999,20,61,178,272
DAAZ,PT Daaz Bara Lestari Tbk,11-Nov-24,Basic Materials,PT Henan Putihrai Sekuritas,utama,lainnya,1997000000,0.1502,modal belanja,rupiah,3.4299E+12,2.15705E+12,2.5874E+12,2.06089E+11,84937130145,880,999,203,570,,
JARR,PT Jhonlin Agro Raya Tbk,4-Aug-22,Consumer Non-Cyclicals,PT Investindo Nusantara Sekuritas; PT Panca Global Sekuritas; PT Binaartha Sekuritas; PT Lotus Andalan Sekuritas,utama,konglomerat,8000000000,0.1529,modal kerja,rupiah,3.3321E+13,2.48661E+12,1.30306E+12,1.2895E+11,-80270000000,300,999,68,46,-8,-39
ISEA,PT Indo American Seafoods Tbk,8-Jul-24,Consumer Non-Cyclicals,PT KB Valbury Sekuritas,pengembangan,lainnya,1390000000,0.1318,modal kerja,rupiah,2.48491E+11,2.23573E+11,1.15908E+11,32566961157,345511105,250,999,41,-54,-71,
KSIX,PT Kentanix Supra International Tbk,8-Jan-25,Properties & Real Estate,PT UOB Kay Hian Sekuritas,pengembangan,start up,2137831800,0.15,modal kerja,rupiah,1.22044E+12,52719851000,1.26108E+11,74241282000,41466884000,452,999,-31,-52,,
